Date,Channel,Campaign,Impressions,Clicks,Spend,Revenue,Conversions
2026-04-20,Meta,[Brand] 인스타그램 스토리_전환,45200,1280,250000,750000,28
2026-04-20,Google,[Search] 핵심 키워드 검색광고,12400,680,180000,450000,15
2026-04-21,Meta,[Brand] 인스타그램 스토리_전환,48100,1310,250000,820000,32
2026-04-21,Google,[Search] 핵심 키워드 검색광고,13100,710,180000,390000,12
2026-04-22,Meta,[Retargeting] 장바구니 리타게팅,21000,980,150000,680000,24
2026-04-22,Google,[PMax] 퍼포먼스 맥스 통합,35000,1450,300000,950000,38
2026-04-23,Meta,[Brand] 인스타그램 스토리_전환,43000,1190,250000,690000,22
2026-04-23,Google,[Search] 핵심 키워드 검색광고,11900,620,180000,410000,14
2026-04-24,Meta,[Retargeting] 장바구니 리타게팅,22500,1050,150000,720000,27
2026-04-24,Google,[PMax] 퍼포먼스 맥스 통합,38000,1520,300000,1100000,45
2026-04-25,Meta,[Lookalike] 유사타겟 확장_카탈로그,62000,1850,400000,1280000,52
2026-04-25,Google,[YouTube] 논스킵 브랜딩 비디오,95000,850,200000,150000,3
2026-04-26,Meta,[Lookalike] 유사타겟 확장_카탈로그,65000,1920,400000,1450000,60
2026-04-26,Google,[YouTube] 논스킵 브랜딩 비디오,98000,890,200000,180000,4
2026-04-27,Meta,[Brand] 인스타그램 스토리_전환,44100,1210,250000,780000,29
2026-04-27,Google,[Search] 핵심 키워드 검색광고,12800,670,180000,490000,18
2026-04-28,Meta,[Retargeting] 장바구니 리타게팅,20500,940,150000,610000,21
2026-04-28,Google,[PMax] 퍼포먼스 맥스 통합,36500,1480,300000,1020000,41
2026-04-29,Meta,[Brand] 인스타그램 스토리_전환,46500,1290,250000,890000,35
2026-04-29,Google,[Search] 핵심 키워드 검색광고,13500,720,180000,520000,20
2026-04-30,Meta,[Retargeting] 장바구니 리타게팅,23000,1080,150000,790000,30
2026-04-30,Google,[PMax] 퍼포먼스 맥스 통합,39000,1580,300000,1250000,49
2026-05-01,Meta,[Brand] 인스타그램 스토리_전환,48900,1380,250000,980000,38
2026-05-01,Google,[Search] 핵심 키워드 검색광고,14000,750,180000,580000,22
2026-05-02,Meta,[Lookalike] 유사타겟 확장_카탈로그,67000,2010,400000,1680000,68
2026-05-02,Google,[YouTube] 논스킵 브랜딩 비디오,102000,920,200000,220000,5
2026-05-03,Meta,[Lookalike] 유사타겟 확장_카탈로그,69000,2080,400000,1850000,74
2026-05-03,Google,[YouTube] 논스킵 브랜딩 비디오,105000,960,200000,250000,6
2026-05-04,Meta,[Brand] 인스타그램 스토리_전환,45800,1260,250000,810000,31
2026-05-04,Google,[Search] 핵심 키워드 검색광고,13200,690,180000,470000,16
2026-05-05,Meta,[Retargeting] 장바구니 리타게팅,24000,1120,150000,880000,34
2026-05-05,Google,[PMax] 퍼포먼스 맥스 통합,41000,1650,300000,1390000,55
2026-05-06,Meta,[Brand] 인스타그램 스토리_전환,47200,1320,250000,920000,36
2026-05-06,Google,[Search] 핵심 키워드 검색광고,13800,730,180000,550000,21
2026-05-07,Meta,[Retargeting] 장바구니 리타게팅,22000,1020,150000,740000,28
2026-05-07,Google,[PMax] 퍼포먼스 맥스 통합,38500,1530,300000,1180000,46
2026-05-08,Meta,[Lookalike] 유사타겟 확장_카탈로그,71000,2150,400000,1920000,78
2026-05-08,Google,[YouTube] 논스킵 브랜딩 비디오,108000,990,200000,290000,8
2026-05-09,Meta,[Lookalike] 유사타겟 확장_카탈로그,73000,2210,400000,2100000,85
2026-05-09,Google,[YouTube] 논스킵 브랜딩 비디오,111000,1020,200000,310000,9
2026-05-10,Meta,[Brand] 인스타그램 스토리_전환,46200,1290,250000,860000,33
2026-05-10,Google,[Search] 핵심 키워드 검색광고,13600,710,180000,510000,19
2026-05-11,Meta,[Retargeting] 장바구니 리타게팅,21500,990,150000,710000,26
2026-05-11,Google,[PMax] 퍼포먼스 맥스 통합,37800,1510,300000,1120000,43
2026-05-12,Meta,[Brand] 인스타그램 스토리_전환,47800,1340,250000,940000,37
2026-05-12,Google,[Search] 핵심 키워드 검색광고,14100,740,180000,570000,23
2026-05-13,Meta,[Retargeting] 장바구니 리타게팅,25000,1180,150000,950000,37
2026-05-13,Google,[PMax] 퍼포먼스 맥스 통합,43000,1720,300000,1560000,61
2026-05-14,Meta,[Lookalike] 유사타겟 확장_카탈로그,75000,2280,400000,2250000,92
2026-05-14,Google,[YouTube] 논스킵 브랜딩 비디오,114000,1050,200000,330000,10
2026-05-15,Meta,[Lookalike] 유사타겟 확장_카탈로그,77000,2340,400000,2410000,98
2026-05-15,Google,[YouTube] 논스킵 브랜딩 비디오,117000,1080,200000,360000,11
2026-05-16,Meta,[Brand] 인스타그램 스토리_전환,48200,1360,250000,990000,39
2026-05-16,Google,[Search] 핵심 키워드 검색광고,14300,760,180000,610000,25
2026-05-17,Meta,[Retargeting] 장바구니 리타게팅,23500,1100,150000,840000,32
2026-05-17,Google,[PMax] 퍼포먼스 맥스 통합,40500,1630,300000,1350000,53
2026-05-18,Meta,[Brand] 인스타그램 스토리_전환,49500,1410,250000,1050000,42
2026-05-18,Google,[Search] 핵심 키워드 검색광고,14600,780,180000,640000,27
2026-05-19,Meta,[Retargeting] 장바구니 리타게팅,26000,1230,150000,1020000,40
2026-05-19,Google,[PMax] 퍼포먼스 맥스 통합,45000,1810,300000,1680000,67
2026-05-20,Meta,[Lookalike] 유사타겟 확장_카탈로그,79000,2420,400000,2580000,105
2026-05-20,Google,[YouTube] 논스킵 브랜딩 비디오,120000,1110,200000,380000,12
